Date,Open,High,Low,Close,Volume
08/22/2025,"637.76","646.50","637.25","645.31","84,083,211"
08/21/2025,"636.28","637.97","633.81","635.55","54,805,781"
08/20/2025,"639.40","639.66","632.95","638.11","88,890,305"
08/19/2025,"643.12","644.11","638.48","639.81","69,750,727"
08/18/2025,"642.86","644.00","642.18","643.30","43,804,910"
08/15/2025,"645.99","646.09","642.52","643.44","68,592,516"
08/14/2025,"642.79","645.62","642.34","644.95","59,327,473"
08/13/2025,"644.91","646.19","642.68","644.89","60,092,793"
08/12/2025,"638.29","642.85","636.79","642.69","64,821,801"
08/11/2025,"637.46","638.95","634.66","635.92","58,742,301"
08/08/2025,"634.06","637.65","633.74","637.18","64,051,633"
08/07/2025,"636.24","636.98","629.11","632.25","74,205,789"
08/06/2025,"629.05","633.44","628.13","632.78","64,357,527"
08/05/2025,"631.79","632.61","627.04","627.97","68,051,398"
08/04/2025,"625.67","631.22","625.58","631.17","73,218,016"
08/01/2025,"626.30","626.34","619.29","621.72","140,103,594"
07/31/2025,"639.46","639.85","630.77","632.08","103,385,203"
07/30/2025,"635.92","637.68","631.54","634.46","80,418,852"
07/29/2025,"638.35","638.67","634.34","635.26","60,556,281"
07/28/2025,"637.48","638.04","635.54","636.94","54,917,102"
07/25/2025,"635.09","637.58","634.84","637.10","56,865,359"
07/24/2025,"634.60","636.15","633.99","634.42","71,307,125"
07/23/2025,"631.55","634.21","629.73","634.21","70,511,039"
